Word,third_singular,Present_Participle,Simple_Past,Past_Participle
satisfy,satisfies,satisfying,satisfied,satisfied
save,saves,saving,saved,saved
say,says,saying,said,said
score,scores,scoring,scored,scored
scratch,scratches,scratching,scratched,scratched
scream,screams,screaming,screamed,screamed
seal,seals,sealing,sealed,sealed
search,searches,searching,searched,searched
secure,secures,securing,secured,secured
see,sees,seeing,saw,seen
seek,seeks,seeking,sought,sought
seem,seems,seeming,seemed,seemed
seize,seizes,seizing,seized,seized
select,selects,selecting,selected,selected
sell,sells,selling,sold,sold
send,sends,sending,sent,sent
sense,senses,sensing,sensed,sensed
separate,separates,separating,separated,separated
serve,serves,serving,served,served
service,services,servicing,serviced,serviced
set,sets,setting,set,set
settle,settles,settling,settled,settled
shake,shakes,shaking,shook,shaken
shall,shall,-,should,-
shape,shapes,shaping,shaped,shaped
share,shares,sharing,shared,shared
shed,sheds,shedding,shed,shed
shift,shifts,shifting,shifted,shifted
shine,shines,shining,shone,shone
ship,ships,shipping,shipped,shipped
shoot,shoots,shooting,shot,shot
shop,shops,shopping,shopped,shopped
should,,,,
shout,shouts,shouting,shouted,shouted
show,shows,showing,showed,shown
shut,shuts,shutting,shut,shut
sign,signs,signing,signed,signed
signal,signals,signalling,signalled,signalled
sing,sings,singing,sang,sung
sink,sinks,sinking,sank,sunk
sit,sits,sitting,sat,sat
sleep,sleeps,sleeping,slept,slept
slide,slides,sliding,slid,slid
slip,slips,slipping,slipped,slipped
slow,slows,slowing,slowed,slowed
smell,smells,smelling,smelled,smelled
smile,smiles,smiling,smiled,smiled
smoke,smokes,smoking,smoked,smoked
snap,snaps,snapping,snapped,snapped
soften,softens,softening,softened,softened
solve,solves,solving,solved,solved
sort,sorts,sorting,sorted,sorted
sound,sounds,sounding,sounded,sounded
spare,spares,sparing,spared,spared
speak,speaks,speaking,spoke,spoken
specify,specifies,specifying,specified,specified
speculate,speculates,speculating,speculated,speculated
speed,speeds,speeding,sped,sped
spell,spells,spelling,spelled,spelled
spend,spends,spending,spent,spent
spill,spills,spilling,spilled,spilled
spin,spins,spinning,spun,spun
split,splits,splitting,split,split
spoil,spoils,spoiling,spoiled,spoiled
spot,spots,spotting,spotted,spotted
spread,spreads,spreading,spread,spread
spring,springs,springing,sprang,sprung
squeeze,squeezes,squeezing,squeezed,squeezed
stand,stands,standing,stood,stood
stare,stares,staring,stared,stared
start,starts,starting,started,started
state,states,stating,stated,stated
stay,stays,staying,stayed,stayed
steal,steals,stealing,stole,stolen
steer,steers,steering,steered,steered
stem,stems,stemming,stemmed,stemmed
step,steps,stepping,stepped,stepped
stick,sticks,sticking,sticked,sticked
stimulate,stimulates,stimulating,stimulated,stimulated
stir,stirs,stirring,stirred,stirred
stock,stocks,stocking,stocked,stocked
stop,stops,stopping,stopped,stopped
store,stores,storing,stored,stored
strain,strains,straining,strained,strained
strengthen,strengthens,strengthening,strengthened,strengthened
stress,stresses,stressing,stressed,stressed
stretch,stretches,stretching,stretched,stretched
strike,strikes,striking,struck,struck
strip,strips,stripping,stripped,stripped
strive,strives,striving,strove,striven
struggle,struggles,struggling,struggled,struggled
study,studies,studying,studied,studied
submit,submits,submitting,submitted,submitted
subscribe,subscribes,subscribing,subscribed,subscribed
substitute,substitutes,substituting,substituted,substituted
succeed,succeeds,succeeding,succeeded,succeeded
suck,sucks,sucking,sucked,sucked
sue,sues,suing,sued,sued
suffer,suffers,suffering,suffered,suffered
suffice,suffices,sufficing,sufficed,sufficed
suggest,suggests,suggesting,suggested,suggested
suit,suits,suiting,suited,suited
summon,summons,summoning,summoned,summoned
supervise,supervises,supervising,supervised,supervised
supplement,supplements,supplementing,supplemented,supplemented
supply,supplies,supplying,supplied,supplied
support,supports,supporting,supported,supported
suppose,supposes,supposing,supposed,supposed
suppress,suppresses,suppressing,suppressed,suppressed
surprise,surprises,surprising,surprised,surprised
surrender,surrenders,surrendering,surrendered,surrendered
surround,surrounds,surrounding,surrounded,surrounded
survive,survives,surviving,survived,survived
suspect,suspects,suspecting,suspected,suspected
suspend,suspends,suspending,suspended,suspended
sustain,sustains,sustaining,sustained,sustained
swallow,swallows,swallowing,swallowed,swallowed
swap,swaps,swapping,swapped,swapped
swear,swears,swearing,swore,sworn
sweep,sweeps,sweeping,swept,swept
swim,swims,swimming,swam,swum
swing,swings,swinging,swang,swung
switch,switches,switching,switched,switched
tackle,tackles,tackling,tackled,tackled
take,takes,taking,took,taken
talk,talks,talking,talked,talked
tap,taps,tapping,tapped,tapped
taste,tastes,tasting,tasted,tasted
tax,taxes,taxing,taxed,taxed
teach,teaches,teaching,taught,taught
tear,tears,tearing,tore,torn
telephone,telephones,telephoning,telephoned,telephoned
tell,tells,telling,told,told
tend,tends,tending,tended,tended
terminate,terminates,terminating,terminated,terminated
test,tests,testing,tested,tested
thank,thanks,thanking,thanked,thanked
think,thinks,thinking,thought,thought
threaten,threatens,threatening,threatened,threatened
thrive,thrives,thriving,throve,thriven
throw,throws,throwing,threw,thrown
thrust,thrusts,thrusting,thrust,thrust
tick,ticks,ticking,ticked,ticked
tie,ties,tying,tied,tied
tighten,tightens,tightening,tightened,tightened
time,times,timing,timed,timed
tip,tips,tipping,tipped,tipped
tolerate,tolerates,tolerating,tolerated,tolerated
top,tops,topping,topped,topped
touch,touches,touching,touched,touched
tour,tours,touring,toured,toured
trace,traces,tracing,traced,traced
track,tracks,tracking,tracked,tracked
trade,trades,trading,traded,traded
train,trains,training,trained,trained
transfer,transfers,transferring,transferred,transferred
transform,transforms,transforming,transformed,transformed
translate,translates,translating,translated,translated
transport,transports,transporting,transported,transported
trap,traps,trapping,trapped,trapped
travel,travels,travelling,travelled,travelled
treat,treats,treating,treated,treated
trust,trusts,trusting,trusted,trusted
try,tries,trying,tried,tried
turn,turns,turning,turned,turned
twist,twists,twisting,twisted,twisted
undergo,undergoes,undergoing,underwent,undergone
undermine,undermines,undermining,undermined,undermined
understand,understands,understanding,understood,understood
undertake,undertakes,undertaking,undertook,undertaken
unite,unites,uniting,united,united
update,updates,updating,updated,updated
upgrade,upgrades,upgrading,upgraded,upgraded
upset,upsets,upsetting,upset,upset
urge,urges,urging,urged,urged
use,uses,using,used,used
value,values,valuing,valued,valued
vary,varies,varying,varied,varied
venture,ventures,venturing,ventured,ventured
view,views,viewing,viewed,viewed
visit,visits,visiting,visited,visited
voice,voices,voicing,voiced,voiced
vote,votes,voting,voted,voted
wait,waits,waiting,waited,waited
wake,wakes,waking,woke,woken
walk,walks,walking,walked,walked
wan,,,,
wander,wanders,wandering,wandered,wandered
want,wants,wanting,wanted,wanted
warm,warms,warming,warmed,warmed
warn,warns,warning,warned,warned
warrant,warrants,warranting,warranted,warranted
wash,washes,washing,washed,washed
waste,wastes,wasting,wasted,wasted
watch,watches,watching,watched,watched
wave,waves,waving,waved,waved
weaken,weakens,weakening,weakened,weakened
wear,wears,wearing,wore,worn
wed,weds,wedding,wed,wed
weigh,weighs,weighing,weighed,weighed
welcome,welcomes,welcoming,welcomed,welcomed
widen,widens,widening,widened,widened
will,will,willing,would,-
win,wins,winning,won,won
wind,winds,winding,winded,winded
wipe,wipes,wiping,wiped,wiped
wish,wishes,wishing,wished,wished
withdraw,withdraws,withdrawing,withdrew,withdrawn
withstand,withstands,withstanding,withstood,withstood
witness,witnesses,witnessing,witnessed,witnessed
wonder,wonders,wondering,wondered,wondered
work,works,working,worked,worked
worry,worries,worrying,worried,worried
would,,,,
wrap,wraps,wrapping,wrapped,wrapped
write,writes,writing,wrote,written
yield,yields,yielding,yielded,yielded
